,date,prov_x,deaths,cases,lats,lons
2008,2020-05-10,Río Negro,30.0,1.0,-40.4057957178801,-67.229329893694
2584,2020-05-10,Santa Fe,66.0,1.0,-30.7069271588117,-60.9498369430241
312,2020-05-10,CABA,635.0,17.0,-34.6144934119689,-58.4458563545429
53,2020-05-10,Buenos Aires,720.0,15.0,-36.6769415180527,-60.55883198157189
556,2020-05-10,Chaco,87.0,2.0,-26.3864309061226,-60.76583074386029
1614,2020-05-10,Mendoza,31.0,4.0,-34.6298873058957,-68.58312281837979
2585,2020-05-11,Santa Fe,65.0,1.0,-30.7069271588117,-60.9498369430241
925,2020-05-11,Córdoba,149.0,1.0,-32.142932663607,-63.8017532741662
1099,2020-05-11,Entre Ríos,22.0,1.0,-32.0588735436448,-59.2014475514635
557,2020-05-11,Chaco,100.0,4.0,-26.3864309061226,-60.76583074386029
313,2020-05-11,CABA,672.0,11.0,-34.6144934119689,-58.4458563545429
54,2020-05-11,Buenos Aires,709.0,18.0,-36.6769415180527,-60.55883198157189
2821,2020-05-11,Tierra del Fuego,11.0,1.0,-82.52151781220999,-50.7427486049785
55,2020-05-12,Buenos Aires,710.0,15.0,-36.6769415180527,-60.55883198157189
314,2020-05-12,CABA,641.0,14.0,-34.6144934119689,-58.4458563545429
558,2020-05-12,Chaco,74.0,2.0,-26.3864309061226,-60.76583074386029
56,2020-05-13,Buenos Aires,687.0,14.0,-36.6769415180527,-60.55883198157189
